Date,Open,High,Low,Close,Adj Close,Volume
2009-10-29,22.350000,22.450001,22.350000,22.450001,18.481890,13900
2009-10-30,22.580000,22.580000,22.059999,22.059999,18.160820,300
2009-11-02,22.209999,22.209999,22.040001,22.150000,18.234909,4000
2009-11-03,21.920000,22.049999,21.920000,21.940001,18.062033,7500
2009-11-04,22.120001,22.290001,22.120001,22.120001,18.210217,12700
2009-11-05,22.120001,22.120001,22.120001,22.120001,18.210217,0
2009-11-06,22.450001,22.700001,22.430000,22.700001,18.687700,2800
2009-11-09,22.610001,22.870001,22.610001,22.870001,18.827648,1600
2009-11-10,22.780001,22.780001,22.629999,22.670000,18.663000,11100
2009-11-11,22.719999,22.719999,22.639999,22.660000,18.654770,3000
2009-11-12,22.650000,22.780001,22.580000,22.580000,18.588907,9000
2009-11-13,22.620001,22.750000,22.600000,22.709999,18.695938,6300
2009-11-16,22.820000,23.049999,22.820000,23.030001,18.959373,22000
2009-11-17,23.020000,23.070000,22.980000,22.980000,18.918209,4300
2009-11-18,22.889999,23.000000,22.889999,23.000000,18.934671,1100
2009-11-19,22.990000,22.990000,22.799999,22.850000,18.811186,3600
2009-11-20,22.790001,22.950001,22.790001,22.940001,18.885279,1900
2009-11-23,22.969999,22.969999,22.930000,22.930000,18.877045,1000
2009-11-24,23.030001,23.030001,22.930000,22.940001,18.885279,1900
2009-11-25,22.790001,22.969999,22.790001,22.900000,18.852345,11000
2009-11-26,22.730000,23.070000,22.049999,23.030001,18.959373,2500
2009-11-27,22.770000,22.860001,22.770000,22.860001,18.819422,33600
2009-11-30,22.670000,22.690001,22.570000,22.690001,18.679466,3700
2009-12-01,22.870001,22.920000,22.870001,22.920000,18.868809,2200
2009-12-02,22.940001,23.049999,22.940001,23.040001,18.967600,4700
2009-12-03,23.090000,23.129999,23.000000,23.000000,18.934671,1900
2009-12-04,23.059999,23.170000,22.889999,23.059999,18.984068,33500
2009-12-07,22.990000,23.020000,22.860001,22.889999,18.844116,37400
2009-12-08,22.820000,22.820000,22.700001,22.809999,18.778255,15400
2009-12-09,22.770000,22.770000,22.500000,22.500000,18.523046,2000
2009-12-10,22.680000,22.719999,22.660000,22.660000,18.654770,67500
2009-12-11,22.730000,22.910000,22.730000,22.910000,18.860577,700
2009-12-14,23.110001,23.110001,22.990000,23.010000,18.942904,5300
2009-12-15,22.840000,23.030001,22.840000,23.030001,18.959373,3400
2009-12-16,23.080000,23.139999,23.080000,23.100000,19.016998,7300
2009-12-17,22.910000,22.969999,22.840000,22.910000,18.860577,95800
2009-12-18,22.879999,22.879999,22.730000,22.770000,18.745325,8200
2009-12-21,22.740000,22.969999,22.740000,22.950001,18.893515,64900
2009-12-22,22.820000,22.969999,22.820000,22.879999,18.835880,2700
2009-12-23,22.940001,22.940001,22.900000,22.920000,18.868809,900
2009-12-24,22.730000,22.750000,22.730000,22.750000,18.919542,9900
2009-12-29,22.770000,22.770000,22.660000,22.719999,18.894592,2700
2009-12-30,22.760000,22.850000,22.740000,22.850000,19.002705,6900
2009-12-31,22.700001,22.700001,22.700001,22.700001,18.877962,700
2010-01-04,22.620001,22.900000,22.620001,22.889999,19.035971,4500
2010-01-05,22.860001,22.900000,22.820000,22.900000,19.044283,6600
2010-01-06,22.820000,22.860001,22.730000,22.799999,18.961123,7100
2010-01-07,22.730000,22.860001,22.709999,22.860001,19.011024,39600
2010-01-08,22.830000,22.900000,22.790001,22.900000,19.044283,45300
2010-01-11,22.990000,23.040001,22.920000,23.040001,19.160711,28700
2010-01-12,22.990000,23.020000,22.889999,22.910000,19.052599,9000
2010-01-13,22.840000,22.940001,22.840000,22.940001,19.077553,5600
2010-01-14,22.950001,22.950001,22.850000,22.889999,19.035971,8300
2010-01-15,22.840000,22.840000,22.670000,22.690001,18.869646,3300
2010-01-18,22.760000,22.760000,22.650000,22.730000,18.902908,3800
2010-01-19,22.760000,22.990000,22.760000,22.969999,19.102497,4900
2010-01-20,23.040001,23.040001,22.750000,22.900000,19.044283,8500
2010-01-21,22.920000,22.920000,22.490000,22.490000,18.703316,63800
2010-01-22,22.610001,22.610001,22.160000,22.240000,18.495407,7900
2010-01-25,22.600000,22.600000,22.410000,22.410000,18.636786,2900
2010-01-26,22.490000,22.540001,22.440001,22.440001,18.661736,5100
2010-01-27,22.299999,22.450001,22.280001,22.440001,18.661736,9600
2010-01-28,22.420000,22.420000,22.049999,22.230000,18.487093,22300
2010-01-29,22.270000,22.280001,21.950001,21.950001,18.254236,4500
2010-02-01,22.209999,22.209999,22.150000,22.150000,18.420561,900
2010-02-02,22.280001,22.420000,22.230000,22.420000,18.645103,18800
2010-02-03,22.350000,22.350000,22.280001,22.330000,18.570259,28500
2010-02-04,22.100000,22.100000,21.730000,21.730000,18.071278,21700
2010-02-05,21.639999,21.639999,21.440001,21.530001,17.904953,9300
2010-02-08,21.549999,21.730000,21.540001,21.600000,17.963169,8500
2010-02-09,21.780001,21.950001,21.780001,21.900000,18.212658,22800
2010-02-10,21.820000,21.820000,21.650000,21.660000,18.013067,4000
2010-02-11,21.570000,21.639999,21.500000,21.620001,17.979803,3000
2010-02-12,21.370001,21.620001,21.370001,21.620001,17.979803,3300
2010-02-16,21.510000,21.760000,21.500000,21.760000,18.096228,5100
2010-02-17,21.980000,21.980000,21.879999,21.879999,18.196022,8000
2010-02-18,21.850000,21.990000,21.850000,21.980000,18.279188,5500
2010-02-19,21.950001,22.010000,21.950001,21.969999,18.270870,1300
2010-02-22,22.000000,22.000000,21.900000,21.950001,18.254236,3400
2010-02-23,21.770000,21.990000,21.770000,21.969999,18.270870,1500
2010-02-24,22.040001,22.090000,22.040001,22.049999,18.337400,13100
2010-02-25,21.990000,22.080000,21.940001,22.070000,18.354034,3600
2010-02-26,22.129999,22.129999,22.030001,22.030001,18.320768,3000
2010-03-01,22.020000,22.080000,21.980000,21.980000,18.279188,8300
2010-03-02,21.990000,22.059999,21.940001,22.059999,18.345718,38600
2010-03-03,22.129999,22.129999,22.070000,22.070000,18.354034,600
2010-03-04,22.090000,22.090000,22.000000,22.080000,18.362350,7100
2010-03-05,22.150000,22.400000,22.150000,22.400000,18.628469,7700
2010-03-08,22.370001,22.370001,22.309999,22.370001,18.603523,4300
2010-03-09,22.170000,22.330000,22.170000,22.320000,18.561941,4500
2010-03-10,22.360001,22.420000,22.360001,22.410000,18.636786,1800
2010-03-11,22.389999,22.440001,22.379999,22.389999,18.620157,6100
2010-03-12,22.410000,22.430000,22.350000,22.410000,18.636786,3600
2010-03-15,22.280001,22.340000,22.280001,22.280001,18.528675,6600
2010-03-16,22.410000,22.469999,22.360001,22.469999,18.686686,6500
2010-03-17,22.490000,22.540001,22.480000,22.480000,18.695002,2000
2010-03-18,22.480000,22.520000,22.420000,22.520000,18.728271,9400
2010-03-19,22.469999,22.469999,22.299999,22.410000,18.636786,6500
2010-03-22,22.370001,22.600000,22.350000,22.590000,18.786480,6600
2010-03-23,22.520000,22.650000,22.520000,22.639999,18.828056,6400
2010-03-24,22.600000,22.610001,22.590000,22.600000,18.794798,6500
2010-03-25,22.650000,22.700001,22.600000,22.600000,18.794798,3800
2010-03-26,22.750000,22.799999,22.670000,22.670000,18.853012,2300
2010-03-29,22.730000,22.760000,22.680000,22.760000,18.927860,5100
2010-03-30,22.700001,22.750000,22.620001,22.740000,18.911221,6600
2010-03-31,22.570000,22.610001,22.530001,22.530001,18.736586,3800
2010-04-01,22.719999,22.719999,22.690001,22.719999,18.894592,3400
2010-04-05,22.660000,22.730000,22.660000,22.730000,18.902908,1400
2010-04-06,22.540001,22.629999,22.520000,22.629999,18.819748,2000
2010-04-07,22.600000,22.650000,22.559999,22.570000,18.769846,6200
2010-04-08,22.500000,22.600000,22.500000,22.600000,18.794798,14500
2010-04-09,22.719999,22.780001,22.700001,22.780001,18.944489,2200
2010-04-12,22.889999,22.930000,22.840000,22.900000,19.044283,13800
2010-04-13,22.840000,22.840000,22.750000,22.840000,18.994387,2600
2010-04-14,22.860001,23.010000,22.860001,23.010000,19.135765,2200
2010-04-15,22.950001,23.120001,22.950001,23.100000,19.210611,1800
2010-04-16,22.900000,23.000000,22.900000,22.950001,19.085873,3900
2010-04-19,22.889999,22.940001,22.809999,22.879999,19.027651,2700
2010-04-20,22.790001,22.790001,22.719999,22.730000,18.902908,1300
2010-04-21,22.680000,22.730000,22.660000,22.660000,18.844696,11400
2010-04-22,22.540001,22.670000,22.440001,22.670000,18.853012,5100
2010-04-23,22.740000,22.790001,22.719999,22.790001,18.952808,3300
2010-04-26,22.870001,22.900000,22.790001,22.790001,18.952808,3000
2010-04-27,22.750000,22.750000,22.500000,22.500000,18.711632,3600
2010-04-28,22.500000,22.500000,22.400000,22.400000,18.628469,21100
2010-04-29,22.570000,22.600000,22.570000,22.590000,18.786480,18700
2010-04-30,22.620001,22.639999,22.530001,22.549999,18.753210,7200
2010-05-03,22.530001,22.650000,22.520000,22.650000,18.836378,3900
2010-05-04,22.320000,22.320000,22.150000,22.200001,18.462143,2100
2010-05-05,22.040001,22.139999,22.020000,22.020000,18.312452,4100
2010-05-06,22.000000,22.000000,19.500000,21.559999,17.929903,5900
2010-05-07,21.590000,21.639999,21.240000,21.240000,17.663780,20500
2010-05-10,21.969999,22.070000,21.889999,21.959999,18.262556,8100
2010-05-11,21.650000,21.840000,21.650000,21.820000,18.146126,6300
2010-05-12,21.930000,22.020000,21.920000,21.950001,18.254236,7500
2010-05-13,21.889999,21.889999,21.730000,21.730000,18.071278,900
2010-05-14,21.520000,21.520000,21.379999,21.420000,17.813475,2000
2010-05-17,21.549999,21.570000,21.330000,21.540001,17.913273,6500
2010-05-18,21.480000,21.480000,21.190001,21.190001,17.622200,2700
2010-05-19,21.270000,21.340000,21.230000,21.320000,17.730312,2900
2010-05-20,21.250000,21.250000,21.070000,21.139999,17.580618,21700
2010-05-21,20.790001,21.219999,20.780001,20.950001,17.422611,4900
2010-05-25,20.799999,21.090000,20.740000,21.090000,17.539038,32100
2010-05-26,20.900000,20.900000,20.900000,20.900000,17.381031,10100
2010-05-27,21.129999,21.260000,21.120001,21.250000,17.672096,14000
2010-05-28,21.200001,21.230000,21.139999,21.230000,17.655464,24300
2010-05-31,21.110001,21.120001,21.100000,21.120001,17.563984,1800
2010-06-01,21.000000,21.120001,21.000000,21.090000,17.539038,2000
2010-06-02,20.760000,20.889999,20.760000,20.889999,17.372709,6100
2010-06-03,21.200001,21.200001,21.080000,21.080000,17.530724,2700
2010-06-04,20.870001,20.870001,20.760000,20.790001,17.289555,4700
2010-06-07,20.770000,20.770000,20.610001,20.620001,17.148176,1200
2010-06-08,20.420000,20.530001,20.299999,20.500000,17.048374,10600
2010-06-09,20.559999,20.559999,20.299999,20.299999,16.882050,1400
2010-06-10,20.570000,20.719999,20.570000,20.719999,17.231339,7800
2010-06-11,20.740000,20.790001,20.740000,20.790001,17.289555,700
2010-06-14,20.969999,21.030001,20.930000,21.030001,17.489145,1900
2010-06-15,21.090000,21.280001,21.090000,21.280001,17.697052,5000
2010-06-16,21.230000,21.309999,21.219999,21.270000,17.688732,1400
2010-06-17,21.459999,21.459999,21.320000,21.330000,17.738628,85300
2010-06-18,21.230000,21.260000,21.230000,21.260000,17.680416,1200
2010-06-21,21.450001,21.450001,21.219999,21.219999,17.647148,4500
2010-06-22,21.200001,21.260000,21.150000,21.150000,17.588936,23700
2010-06-23,21.219999,21.250000,21.219999,21.250000,17.672096,1200
2010-06-24,21.070000,21.070000,20.980000,20.980000,17.447563,2000
2010-06-25,20.719999,20.760000,20.690001,20.709999,17.383764,2800
2010-06-28,20.740000,20.740000,20.650000,20.690001,17.366976,2500
2010-06-29,20.500000,20.500000,20.340000,20.340000,17.073193,3200
2010-06-30,20.500000,20.500000,20.500000,20.500000,17.207489,400
2010-07-02,20.480000,20.480000,20.230000,20.340000,17.073193,9600
2010-07-05,20.400000,20.400000,20.400000,20.400000,17.123556,1700
2010-07-06,20.570000,20.580000,20.350000,20.350000,17.081587,3000
2010-07-07,20.510000,20.750000,20.510000,20.750000,17.417343,5100
2010-07-08,20.830000,20.980000,20.780001,20.980000,17.610403,10700
2010-07-09,20.780001,20.790001,20.780001,20.790001,17.450920,1600
2010-07-12,20.790001,20.940001,20.790001,20.860001,17.509676,5700
2010-07-13,21.100000,21.150000,21.100000,21.150000,17.753096,4700
2010-07-14,21.170000,21.250000,21.170000,21.230000,17.820248,3000
2010-07-15,21.230000,21.360001,21.200001,21.360001,17.929367,16300
2010-07-16,21.270000,21.350000,21.100000,21.100000,17.711126,3600
2010-07-19,21.190001,21.230000,21.160000,21.230000,17.820248,1600
2010-07-20,21.000000,21.090000,21.000000,21.090000,17.702732,1900
2010-07-21,21.120001,21.120001,20.950001,20.950001,17.585220,1700
2010-07-22,21.350000,21.350000,21.350000,21.350000,17.920975,200
2010-07-23,21.459999,21.500000,21.450001,21.450001,18.004913,1500
2010-07-26,21.450001,21.590000,21.450001,21.590000,18.122433,3200
2010-07-27,21.670000,21.709999,21.650000,21.709999,18.223154,6500
2010-07-28,21.650000,21.690001,21.629999,21.629999,18.156004,3900
